iter	Passed	Remaining
0	143	14190
1	153	7501
2	161	5228
3	169	4071
4	176	3362
5	184	2886
6	191	2548
7	199	2295
8	207	2094
9	214	1931
10	222	1801
11	231	1697
12	239	1604
13	247	1523
14	255	1448
15	263	1382
16	271	1325
17	279	1273
18	287	1224
19	295	1182
20	303	1141
21	310	1101
22	319	1071
23	328	1041
24	337	1012
25	345	983
26	353	956
27	362	930
28	369	905
29	378	882
30	386	859
31	393	837
32	401	815
33	409	795
34	417	775
35	425	756
36	432	736
37	441	719
38	449	702
39	457	685
40	464	668
41	472	652
42	479	635
43	488	621
44	496	606
45	505	592
46	513	578
47	521	564
48	529	551
49	537	537
50	546	525
51	556	513
52	563	500
53	571	486
54	578	473
55	587	461
56	595	449
57	603	437
58	611	425
59	620	413
60	628	401
61	636	390
62	644	378
63	652	367
64	660	355
65	669	344
66	676	333
67	684	322
68	692	310
69	700	300
70	709	289
71	718	279
72	726	268
73	736	258
74	745	248
75	754	238
76	764	228
77	773	218
78	783	208
79	791	197
80	801	187
81	809	177
82	819	167
83	829	158
84	838	148
85	848	138
86	857	128
87	866	118
88	876	108
89	885	98
90	894	88
91	904	78
92	914	68
93	924	58
94	934	49
95	944	39
96	954	29
97	964	19
98	972	9
99	982	0
