iter	Logloss
0	0.4849378657
1	0.4140279228
2	0.3792123875
3	0.3582555568
4	0.3421254831
5	0.3323754558
6	0.3214697122
7	0.3146810827
8	0.3087054511
9	0.3025058089
10	0.2966074189
11	0.2912994246
12	0.2850924919
13	0.2799585422
14	0.2751969201
15	0.268440812
16	0.2651878914
17	0.2640663663
18	0.2601246553
19	0.2584423851
20	0.2551310805
21	0.2520636354
22	0.2483814009
23	0.2455382688
24	0.2435994111
25	0.241479965
26	0.2384703952
27	0.2371398629
28	0.2347391943
29	0.2325804761
30	0.2314983498
31	0.2288285893
32	0.2274040455
33	0.2264563624
34	0.2259321805
35	0.2238890194
36	0.2225167978
37	0.2216923774
38	0.2208362562
39	0.2199316304
40	0.2188075007
41	0.2176293253
42	0.2166236105
43	0.2156655859
44	0.21513534
45	0.2141827184
46	0.2138936544
47	0.2128563709
48	0.2122655881
49	0.2117955349
50	0.2112589003
51	0.2109925727
52	0.2105037495
53	0.2101006039
54	0.2098656543
55	0.2096693865
56	0.2094550937
57	0.2089461177
58	0.2084678906
59	0.2083512936
60	0.208020556
61	0.2076808488
62	0.2075023943
63	0.207266366
64	0.206836336
65	0.2067160855
66	0.2064816886
67	0.2062992725
68	0.2061393633
69	0.2057333994
70	0.2056494461
71	0.2054687097
72	0.205282165
73	0.2047617427
74	0.204199415
75	0.2039358299
76	0.2037934833
77	0.2036131754
78	0.2033626953
79	0.2032530969
80	0.2031559616
81	0.2030666193
82	0.2028441213
83	0.2027521236
84	0.2026082567
85	0.2025719662
