iter	Passed	Remaining
0	15	1533
1	30	1473
2	46	1488
3	63	1523
4	83	1585
5	100	1571
6	117	1564
7	134	1551
8	152	1546
9	170	1534
10	186	1505
11	202	1481
12	218	1460
13	235	1444
14	251	1422
15	269	1412
16	285	1392
17	302	1375
18	320	1367
19	338	1353
20	356	1341
21	376	1334
22	393	1317
23	411	1302
24	430	1292
25	448	1276
26	467	1263
27	484	1244
28	503	1231
29	520	1215
30	539	1200
31	559	1189
32	579	1176
33	594	1154
34	610	1134
35	628	1117
36	646	1101
37	663	1082
38	679	1063
39	697	1045
40	716	1030
41	736	1016
42	754	1000
43	774	986
44	792	969
45	809	950
46	827	933
47	848	919
48	866	902
49	887	887
50	908	872
51	925	853
52	943	837
53	961	819
54	979	801
55	994	781
56	1011	763
57	1029	745
58	1048	728
59	1066	710
60	1085	694
61	1104	676
62	1122	659
63	1139	641
64	1158	623
65	1174	605
66	1192	587
67	1209	569
68	1228	551
69	1247	534
70	1272	519
71	1299	505
72	1322	489
73	1345	472
74	1375	458
75	1395	440
76	1413	422
77	1438	405
78	1460	388
79	1480	370
80	1502	352
81	1522	334
82	1545	316
83	1569	298
84	1595	281
85	1619	263
