iter	Passed	Remaining
0	150	14872
1	160	7884
2	172	5572
3	183	4406
4	194	3698
5	207	3243
6	218	2900
7	228	2631
8	239	2425
9	251	2259
10	262	2124
11	274	2010
12	284	1904
13	294	1809
14	306	1734
15	317	1664
16	328	1602
17	339	1544
18	351	1497
19	363	1452
20	375	1412
21	386	1369
22	399	1336
23	410	1300
24	422	1267
25	432	1231
26	444	1201
27	456	1174
28	468	1146
29	479	1119
30	491	1093
31	503	1070
32	514	1044
33	525	1020
34	536	996
35	547	973
36	560	954
37	569	928
38	580	908
39	591	887
40	603	868
41	614	848
42	626	830
43	637	810
44	648	792
45	660	775
46	670	756
47	682	739
48	695	723
49	706	706
50	716	688
51	726	671
52	737	654
53	752	641
54	765	626
55	778	611
56	789	595
57	801	580
58	813	565
59	824	549
60	835	534
61	847	519
62	860	505
63	873	491
64	884	476
65	895	461
66	907	447
67	919	432
68	931	418
69	942	403
70	950	388
71	963	374
72	975	360
73	986	346
74	1002	334775	1015	320776	1028	307777	1042	293778	1056	280779	1067	266880	1079	253881	1089	239882	1101	22583	1108	211
884	1125	198885	1138	185886	1149	171887	1161	158888	1171	144889	1183	131990	1193	11891	1200	104
992	1218	9193	1226	78
94	1237	65
95	1250	52
96	1260	38
97	1270	25
98	1281	12
99	1290	0

